,pm25
2022-09-12,79.0
2022-09-13,77.0
2022-09-14,64.0
2022-09-15,64.0
2022-09-16,80.0
2022-09-17,70.0
2022-09-18,62.0
2022-09-19,66.0
2022-09-20,69.0
2022-09-21,77.0
2022-09-22,56.0
2022-09-23,59.0
2022-09-24,81.0
2022-09-25,72.0
2022-09-26,72.0
2022-09-27,86.0
2022-09-28,95.0
2022-09-29,90.0
2022-09-30,77.0
2022-10-01,81.0
2022-10-02,61.0
2022-10-03,70.0
2022-10-04,83.0
2022-10-05,65.0
2022-10-06,53.0
2022-10-07,56.0
2022-10-08,54.0
2022-10-09,68.0
2022-10-10,56.0
2022-10-11,74.0
2022-10-12,60.0
2022-10-13,68.0
2022-10-14,82.0
2022-10-15,63.0
2022-10-16,61.0
2022-10-17,60.0
2022-10-18,75.0
2022-10-19,76.0
2022-10-20,67.0
2022-10-21,69.0
2022-10-22,71.0
2022-10-23,60.0
2022-10-24,64.0
2022-10-25,68.0
2022-10-26,67.0
2022-10-27,61.0
2022-10-28,65.0
2022-10-29,72.0
2022-10-30,59.0
2022-10-31,59.0
2022-11-01,65.0
2022-11-02,67.0
2022-11-03,61.0
2022-11-04,61.0
2022-11-05,56.0
2022-11-06,56.0
2022-11-07,68.0
2022-11-08,61.0
2022-11-09,58.0
2022-11-10,49.0
2022-11-11,68.0
2022-11-12,59.0
2022-11-13,56.0
2022-11-14,59.0
2022-11-15,63.0
2022-11-16,63.0
2022-11-17,72.0
2022-11-18,71.0
2022-11-19,64.0
2022-11-20,68.0
2022-11-21,68.0
2022-11-22,74.0
2022-11-23,70.0
2022-11-24,77.0
2022-11-25,66.0
2022-11-26,75.0
2022-11-27,66.0
2022-11-28,69.0
2022-11-29,69.0
2022-11-30,80.0
2022-12-01,63.0
2022-12-02,69.0
2022-12-03,64.0
2022-12-04,63.0
2022-12-05,70.0
2022-12-06,72.0
2022-12-07,68.0
2022-12-08,64.0
2022-12-09,60.0
2022-12-10,67.0
2022-12-11,60.0
2022-12-12,76.0
2022-12-13,47.0
2022-12-14,55.0
2022-12-15,53.0
2022-12-16,57.0
2022-12-17,51.0
2022-12-18,56.0
2022-12-19,56.0
2022-12-20,57.0
2022-12-21,58.0
2022-12-22,53.0
2022-12-23,65.0
2022-12-24,72.0
2022-12-25,67.0
2022-12-26,70.0
2022-12-27,67.0
2022-12-28,69.0
2022-12-29,71.0
2022-12-30,75.0
2022-12-31,76.0
2023-01-01,76.0
2023-01-02,84.0
2023-01-03,57.0
2023-01-04,59.0
2023-01-05,70.0
2023-01-06,80.0
2023-01-07,66.0
2023-01-08,70.0
2023-01-09,66.0
2023-01-10,72.0
2023-01-11,64.0
2023-01-12,65.0
2023-01-13,64.0
2023-01-14,69.0
2023-01-15,75.0
2023-01-16,66.0
2023-01-17,63.0
2023-01-18,61.0
2023-01-19,57.0
2023-01-20,55.0
2023-01-21,52.0
2023-01-22,53.0
2023-01-23,57.0
2023-01-24,58.0
2023-01-25,55.0
2023-01-26,57.0
2023-01-27,56.0
2023-01-28,51.0
2023-01-29,56.0
2023-01-30,63.0
2023-01-31,63.0
2023-02-01,63.0
2023-02-02,62.0
2023-02-03,63.0
2023-02-04,55.0
2023-02-05,61.0
2023-02-06,60.0
2023-02-07,60.0
2023-02-08,61.0
2023-02-09,59.0
2023-02-10,59.0
2023-02-11,59.0
2023-02-12,57.0
2023-02-13,64.0
2023-02-14,65.0
2023-02-15,55.0
2023-02-16,65.0
2023-02-17,66.0
2023-02-18,66.0
2023-02-19,62.0
2023-02-20,61.0
2023-02-21,68.0
2023-02-22,70.0
2023-02-23,66.0
2023-02-24,64.0
2023-02-25,70.0
2023-02-26,67.0
2023-02-27,66.0
2023-02-28,58.0
2023-03-01,53.0
2023-03-02,54.0
2023-03-03,56.0
2023-03-04,57.0
2023-03-05,74.0
2023-03-06,67.0
2023-03-07,67.0
2023-03-08,66.0
2023-03-09,67.0
2023-03-10,70.0
2023-03-11,69.0
2023-03-12,68.0
2023-03-13,74.0
2023-03-14,76.0
2023-03-15,75.0
2023-03-16,69.0
2023-03-17,68.0
2023-03-18,69.0
2023-03-19,69.0
2023-03-20,67.0
2023-03-21,61.0
2023-03-22,67.0
2023-03-23,61.0
2023-03-24,61.0
2023-03-25,65.0
2023-03-26,76.0
2023-03-27,66.0
2023-03-28,62.0
2023-03-29,53.0
2023-03-30,61.0
2023-03-31,72.0
2023-04-01,63.0
2023-04-02,161.0
2023-04-03,69.0
2023-04-04,83.0
2023-04-05,83.0
2023-04-06,84.0
2023-04-07,78.0
2023-04-08,86.0
2023-04-09,62.0
2023-04-10,79.0
2023-04-11,85.0
2023-04-12,91.0
2023-04-13,109.0
2023-04-14,105.0
2023-04-15,102.0
2023-04-16,104.0
2023-04-17,80.0
2023-04-18,76.0
2023-04-19,67.0
2023-04-20,71.0
2023-04-21,74.0
2023-04-22,56.0
2023-04-23,60.0
2023-04-24,62.0
2023-04-25,61.0
2023-04-26,65.0
2023-04-27,56.0
2023-04-28,64.0
2023-04-29,71.0
2023-04-30,74.0
2023-05-01,60.0
2023-05-02,54.0
2023-05-03,55.0
2023-05-04,64.0
2023-05-05,75.0
2023-05-06,67.0
2023-05-07,54.0
2023-05-08,60.0
2023-05-09,52.0
2023-05-10,47.0
2023-05-11,69.0
2023-05-12,57.0
2023-05-13,57.0
2023-05-14,61.0
2023-05-15,59.0
2023-05-16,65.0
2023-05-17,78.0
2023-05-18,87.0
2023-05-19,70.0
2023-05-20,75.0
2023-05-21,67.0
2023-05-22,70.0
